Team,Abbr,MP_Home,GF_Home,GA_Home,xG_Home,xGA_Home,MP_Away,GF_Away,GA_Away,xG_Away,xGA_Away
Arsenal,ARS,3,4,3,6,2.7,3,10,5,9.5,2.3
Aston Villa,AVL,3,3,12,3.7,9,3,3,4,2.5,3.4
Brighton,BRI,3,3,7,3.5,5,3,5,5,3,8.7
Bristol City,BRC,3,3,8,1.6,5.3,3,4,10,3.3,5.4
Chelsea,CHE,3,8,3,9.5,3.6,3,10,1,7.9,1.8
Everton,EVE,3,1,10,2.7,5.2,3,2,2,3.7,4.7
Leicester City,LEI,3,3,7,4.1,10.1,3,6,5,2.2,4.3
Liverpool,LIV,3,4,2,2.7,2,3,3,2,2.9,3.5
Manchester City,MCI,3,6,2,6,2.9,3,4,2,5.9,3.3
Manchester Utd,MUN,3,8,3,4.9,2.3,3,9,3,8,3.1
Tottenham,TOT,3,5,3,4,4.4,3,8,5,4.4,5.7
West Ham,WHU,3,3,6,2.4,4,3,2,7,3,4.9
